Symbol,Name,Country,IPO Year,Sector,Industry
MWA,MUELLER WATER PRODUCTS Common Stock,United States,2006,Industrials,Metal Fabrications
MXC,Mexco Energy Corporation Common Stock,United States,2003,Energy,Oil & Gas Production
MXCT,MaxCyte Inc. Common Stock,United States,2021,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MXL,MaxLinear Inc. Common Stock,United States,2010,Technology,Semiconductors
MYD,Blackrock MuniYield Fund Inc.  Common Stock,United States,1991,Finance,Investment Bankers/Brokers/Service
MYE,Myers Industries Inc. Common Stock,United States,1983,Industrials,Plastic Products
MYFW,First Western Financial Inc. Common Stock,United States,2018,Finance,Major Banks
MYGN,Myriad Genetics Inc. Common Stock,United States,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
MYMD,MyMD Pharmaceuticals Inc. Common Stock,United States,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
MYN,Blackrock MuniYield New York Quality Fund Inc.Common Stock,United States,1992,Finance,Finance Companies
MYO,Myomo Inc. Common Stock,United States,2017,Health Care,Industrial Specialties
MYPS,PLAYSTUDIOS Inc.  Class A Common Stock,United States,2020,Technology,EDP Services
MYPSW,PLAYSTUDIOS Inc. Warrant,United States,2020,Technology,EDP Services
MYRG,MYR Group Inc. Common Stock,United States,2008,Industrials,Water Sewer Pipeline Comm & Power Line Construction
NABL,N-able Inc. Common Stock,United States,2021,Technology,Computer Software: Prepackaged Software
NAC,Nuveen California Quality Municipal Income Fund,United States,1999,Finance,Investment Managers
NAD,Nuveen Quality Municipal Income Fund Common Stock,United States,1999,Finance,Investment Managers
NAN,Nuveen New York Quality Municipal Income Fund Common Stock,United States,1999,Finance,Investment Managers
NAPA,The Duckhorn Transaction Inc. Common Stock,United States,2021,Consumer Staples,Beverages (Production/Distribution)
NARI,Inari Medical Inc. Common Stock,United States,2020,Health Care,Medical/Dental Instruments
NATH,Nathan's Famous Inc. Common Stock,United States,1993,Consumer Discretionary,Restaurants
NATI,National Instruments Corporation Common Stock,United States,1995,Technology,Computer Software: Prepackaged Software
NAUT,Nautilus Biotechnolgy Inc. Common Stock,United States,2020,Industrials,Biotechnology: Laboratory Analytical Instruments
NAZ,Nuveen Arizona Quality Municipal Income Fund Common Stock,United States,1992,Finance,Finance/Investors Services
NBB,Nuveen Taxable Municipal Income Fund Common Shares of Beneficial Interest,United States,2010,Finance,Finance Companies
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,United States,2002,Finance,Finance/Investors Services
NBHC,National Bank Holdings Corporation Common Stock,United States,2012,Finance,Major Banks
NBIX,Neurocrine Biosciences Inc. Common Stock,United States,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,United States,2002,Finance,Finance/Investors Services
NBST,Newbury Street Acquisition Corporation Common Stock,United States,2021,Finance,Blank Checks
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,United States,2002,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,United States,2007,Health Care,Biotechnology: Pharmaceutical Preparations
NCAC,Newcourt Acquisition Corp Class A Ordinary Share,United States,2021,Finance,Blank Checks
NCACW,Newcourt Acquisition Corp Warrant,United States,2021,Finance,Blank Checks
NCMI,National CineMedia Inc. Common Stock,United States,2007,Consumer Discretionary,Advertising
NCNO,nCino Inc. Common Stock,United States,2020,Technology,Computer Software: Prepackaged Software
NCSM,NCS Multistage Holdings Inc. Common Stock,United States,2017,Energy,Oilfield Services/Equipment
NCV,Virtus Convertible & Income Fund Common Shares of Beneficial Interest,United States,2003,Finance,Finance Companies
NCZ,Virtus Convertible & Income Fund II Common Shares of Beneficial Interest,United States,2003,Finance,Finance Companies
NDLS,Noodles & Company Class A Common Stock,United States,2013,Consumer Discretionary,Restaurants
NDP,Tortoise Energy Independence Fund Inc. Common Stock,United States,2012,Finance,Finance/Investors Services
NDRA,ENDRA Life Sciences Inc. Common Stock,United States,2017,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NEA,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01,United States,2002,Finance,Finance/Investors Services
NECB,NorthEast Community Bancorp Inc. Common Stock,United States,2021,Finance,Savings Institutions
NEOG,Neogen Corporation Common Stock,United States,1989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NEP,NextEra Energy Partners LP Common Units representing limited partner interests,United States,2014,Utilities,Electric Utilities: Central
NERV,Minerva Neurosciences Inc Common Stock,United States,2014,Health Care,Biotechnology: Pharmaceutical Preparations
NET,Cloudflare Inc. Class A Common Stock,United States,2019,Technology,Computer Software: Prepackaged Software
NETD,Nabors Energy Transition Corp. II Class A Ordinary Shares,United States,2023,,
NETDU,Nabors Energy Transition Corp. II Unit,United States,2023,,
NETDW,Nabors Energy Transition Corp. II Warrant,United States,2023,,
NEWR,New Relic Inc. Common Stock,United States,2014,Technology,Computer Software: Prepackaged Software
NEXI,NexImmune Inc. Common Stock,United States,2021,Health Care,Biotechnology: Pharmaceutical Preparations
NEXT,NextDecade Corporation Common Stock,United States,2015,Utilities,Oil & Gas Production
NFBK,Northfield Bancorp Inc. Common Stock (Delaware),United States,2007,Finance,Major Banks
NFE,New Fortress Energy Inc. Class A Common Stock,United States,2019,Utilities,Oil/Gas Transmission
NFJ,Virtus Dividend Interest & Premium Strategy Fund Common Shares of Beneficial Interest,United States,2005,Finance,Finance: Consumer Services
NFLX,Netflix Inc. Common Stock,United States,2002,Consumer Discretionary,Consumer Electronics/Video Chains
NFTG,The NFT Gaming Company Inc. Common Stock,United States,2023,Technology,Computer Software: Prepackaged Software
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,United States,2011,Utilities,Natural Gas Distribution
NGM,NGM Biopharmaceuticals Inc. Common Stock,United States,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NGS,Natural Gas Services Group Inc. Common Stock,United States,2002,Energy,Oilfield Services/Equipment
NGVC,Natural Grocers by Vitamin Cottage Inc. Common Stock,United States,2012,Consumer Staples,Food Chains
NGVT,Ingevity Corporation Common Stock ,United States,2016,Industrials,Major Chemicals
NHC,National HealthCare Corporation Common Stock,United States,1986,Health Care,Hospital/Nursing Management
NHWK,NightHawk Biosciences Inc. Common Stock,United States,2022,Health Care,Biotechnology: Pharmaceutical Preparations
NIC,Nicolet Bankshares Inc. Common Stock,United States,2022,Finance,Major Banks
